 uniform	制服
The console consists of a screen, pod status indicators, a throttle, and some buttons.  The buttons are marked "AutoNav", "Power", and "Don't Touch".	控制台上有螢幕、逃生艙狀態指示燈、節流閥，還有幾個按鈕，分別寫著「自動導航」、「電源」和「請勿觸碰」。
Out the window you see billions and billions of stars.	窗外是數也數不清的星星。
That has no effect now.	現在做那個沒有用了。
It said don't touch.  I warned you!	上面明明寫著「請勿觸碰」，我警告過你了！
Please buckle your seat belt first.	請先繫好安全帶。
The monitor flashes. You study it to see what new information is being displayed.	螢幕閃了一下，你仔細看看上面顯示了什麼新訊息。
It sure looks deep.	看起來還真深。
You have already done that.	你已經做過那件事了。
There are three buttons here. They are marked "AutoNav", "Power", and "Don't Touch".	這裡有三個按鈕，分別標著「自動導航」、「電源」和「請勿觸碰」。
There are some lights on. They indicate (when lit) that all pod systems are functioning normally.	有幾盞燈亮著，這些燈亮起時，表示逃生艙所有系統運作正常。
The lights on the console are currently not on.	控制台上的燈目前沒有亮。
That act has already been performed.	這件事你已經做過了。
Are you crazy? It seems quite obvious that you don't know what you are doing, you daft imp.	你瘋了嗎？很明顯你根本不知道自己在幹嘛，你這個蠢蛋。
You'll have to be more specific. The autonav button or the power button?	你得講清楚一點。是自動導航按鈕，還是電源按鈕？
Hey! What are you doing? Don't mess with the throttle while in flight! You have enough problems already. Why don't you spend your time thinking about how you're going to handle them?	欸！你在幹嘛？飛行途中不要亂動節流閥！你麻煩已經夠多了，怎麼不花點時間想想要怎麼解決？
Your door is ajar.	你的艙門沒關緊。
I'm sorry, Dave. I'm afraid I can't do that.	很抱歉，戴夫，恐怕我沒辦法這麼做。
The throttle is of the usual "T"-shaped variety.	這根節流閥是常見的「T」字形款式。
You can't. The door is closed.	不行，門是關著的。
You can't. You are buckled into your seat.	不行，你的安全帶還扣著。
You see nothing of interest.	你沒看到什麼特別的東西。
The throttle is currently in a position that prevents you from doing that.	節流閥目前的位置讓你沒辦法這麼做。
Don't worry. Aside from a stray Sarien attack, this is a low crime area.	別擔心，除了偶爾有沙利安人來亂之外，這一帶治安算不錯。
The throttle is already in that position.	節流閥已經在那個位置了。
The door is small and uninteresting. It is presently closed.	這扇門又小又平凡，目前是關著的。
The door is small and uninteresting. It is presently open.	這扇門又小又平凡，目前是開著的。
All systems are GO	所有系統一切正常
They're just your typical passenger restraint devices.	這只是一般的乘客安全束帶裝置。
The throttle is back as far as it will go.	節流閥已經拉到底了。
You should specify which button you would like to push.	你該說清楚想按哪個按鈕。
Please remain seated and keep seat belt buckled while vehicle is in motion.	載具行進中請坐好，並繫緊安全帶。
. . . .WARNING. . . .	. . . .警告。 . . .
Self-Destruct Mechanism Has Been Armed!	自毀裝置已啟動！
Evacuate Ship Immediately!	立刻棄船逃生！
!! THIS IS NOT A TEST !!	！！這不是演習！！
This is the Star Generator development laboratory.  Due to your incredibly low security clearance you have never been allowed access to this room.	這裡是星辰產生器的研發實驗室。以你低到不行的安全權限，本來根本不可能踏進這間房間。
Through the observation window you can see to infinity.	透過觀測窗，你可以看到無窮無盡的遠方。
Looking at the console you see many displays and instruments which make no sense to you.  There is a flashing light near a screen in the center.	你看著控制台，上面一堆顯示器和儀器你完全看不懂。中央的螢幕附近有一盞燈在閃。
There is an empty pedestal here. It looks like it is used to hold some large object, maybe the Star Generator.	這裡有一座空的底座，看起來是用來放置某個大型物體的，也許就是星辰產生器。
The floor is normal except for two dead bodies and a pedestal in the middle.	地板看起來沒什麼異狀，只是中間躺著兩具屍體，還有一座底座。
The back wall is barren. The others, as you can see, are actually large windows allowing you an unrestricted view of space.	後牆光禿禿的什麼都沒有，其他牆面你也看得出來，其實都是大片窗戶，讓你能毫無阻隔地看到外太空。
Hanging from the ceiling is a large device which apparently helped support the item which was mounted on the pedestal below.	天花板上垂掛著一具大型裝置，看起來是用來支撐底下底座上那件物品的。
That can't be done at this location.	這個地方沒辦法這麼做。
The sheer vastness of space never ceases to amaze you.	太空浩瀚無垠的景象，總是讓你嘆為觀止。
Gazing out at the stars reminds you of how far you are from home.	望著滿天星斗，讓你想起自己離家有多遠。
Peering through the large observation windows you take in the immense panorama of space and stars.	你透過大片觀測窗，把浩瀚的星空盡收眼底。
Your mind is boggled in attempting to understand the function of the various buttons, switches, lights, and displays. It appears the board is not operating.	你想搞懂這些按鈕、開關、燈號和顯示器到底是幹嘛用的，但完全一頭霧水。看起來這片面板根本沒在運作。
This console shows the only signs of life. One red light shines from the the upper-left corner of a glowing monitor.	這座控制台是唯一還有動靜的地方，一盞紅燈從發著光的螢幕左上角亮著。
That console could be better viewed from a closer vantage point.	這座控制台再靠近一點看會更清楚。
There are many buttons here. Messing with them will not help anything.	這裡有一堆按鈕，亂按也不會有什麼幫助。
The lights are all out except for one on the other console.	燈全滅了，只剩另一座控制台上還有一盞亮著。
One light glows red indicating that the monitor power is on.	有一盞紅燈亮著，表示螢幕的電源是開著的。
There is nothing to see here.	這裡沒什麼好看的。
That can not be seen from here.	從這裡看不到那個。
You see sprawled at your feet the lifeless body of another crew member.	你腳邊倒著另一名船員的屍體。
Yet another body lies motionless.	又是一具動也不動的屍體。
The reward for your search is. . .	你搜索的收穫是……
There is no Star Generator here to look at.	這裡沒有星辰產生器可以看。
Congratulations! You have narrowly escaped an explosive death! Don't start patting yourself on the back just yet, though. You are now traveling aimlessly through the cosmos.	恭喜！你千鈞一髮逃過一場爆炸死亡！不過先別急著自誇，你現在正在宇宙中漫無目的地漂流。
The Autonav system has locked onto the small planet of Kerona and the pod has begun its approach. Nothing to do now but hang on!	自動導航系統已經鎖定柯羅娜星這顆小行星，逃生艙已經開始接近。現在你只能抓緊坐穩！
Well done, %s1! You've managed to overcome the elements of Kerona, from endless deserts and spider droids to obnoxious salesmen and bad booze. Yes, the sand in your boots shall forever serve as a reminder of this forsaken planet. You should feel proud. But now, destiny awaits with an even greater challenge.	做得好，%s1！你撐過了柯羅娜星的種種考驗——無盡的沙漠、蜘蛛機器人、討人厭的推銷員，還有難喝到爆的酒。沒錯，靴子裡的沙子會永遠提醒你這顆被遺忘的星球。你應該為自己感到驕傲。但現在，命運正等著你迎接更大的挑戰。
You are inside the escape pod. It appears that the more fragile devices were damaged severely by the impact of landing.	你在逃生艙裡，看起來比較脆弱的裝置在降落撞擊中都嚴重損壞了。
Through the window you see a vast wasteland composed of sand.	透過窗戶，你看到一片由沙子構成的遼闊荒地。
The console consists of a screen, pod status indicators, a throttle, and some buttons.  The buttons are marked "AutoNav" and "Power".	控制台上有一個螢幕、逃生艙狀態指示燈、一根節流閥，還有幾個按鈕。按鈕分別標著「自動導航」和「電源」。
Pushing the AutoNav button has no effect.	按下自動導航按鈕沒有任何反應。
The throttle seems to be jammed.  It won't budge.	節流閥好像卡住了，動也不動。
The screen is dark, not to mention cracked.	螢幕一片漆黑，而且還裂了。
Pushing the Power button has no effect.	按下電源按鈕沒有任何反應。
You are inside the escape pod. It appears that the more fragile devices were damaged severely by the impact of landing.  Got any bright ideas, Edison?	你在逃生艙裡，看起來比較脆弱的裝置在降落撞擊中都嚴重損壞了。有什麼好點子嗎，愛迪生？
You are unable to leave with your seat belt on.	安全帶還扣著，你沒辦法離開。
Done	完成
That has already been done.	這件事已經做過了。
You can fix nothing here.	這裡沒有東西可以修。
Neither this nor anything else on the console works.	這個和控制台上其他東西都沒有用。
There are three buttons here. They are marked "AutoNav", "Power", and "Don't Press".	這裡有三個按鈕，分別標著「自動導航」、「電源」和「請勿按下」。
The door has been permanently opened by the impact of landing.	這扇門在降落撞擊中被撞得永久打開了。
A survival kit has broken loose from someplace.	一個求生包不知道從哪裡鬆脫，掉了下來。
There is nothing under the seat.	座位底下什麼都沒有。
After a skull-jarring landing, you peer through the shattered viewing port out onto the desert landscape. A feeling of utter desolation settles in. You`re in a fine mess now, %s1.	經過一陣天旋地轉的硬著陸後，你從破裂的觀測窗望向外面的沙漠景色，一股徹底的荒涼感湧上心頭。你這下麻煩大了，%s1。
No way.	沒門。
You are high atop a rocky plateau. The desert below seems to stretch to infinity.	你站在一座岩石高原頂端，下方的沙漠彷彿無邊無際地延伸出去。
It is merely a spire of rock which has managed to defy the elements.	這只是一根撐過風吹日曬的岩石尖塔。
You are near the base of a plateau. It is a rather bleak environment.	你在一座高原的底部附近，這裡的環境相當荒涼。
You are high atop a rocky plateau near two halves of an arch. The desert below seems to stretch to infinity.	你站在一座岩石高原頂端，附近有一座斷成兩半的拱門，下方的沙漠彷彿無邊無際地延伸出去。
You are near the base of a plateau, upon which rests two large rocks. It is a rather bleak environment.	你在一座高原的底部附近，上頭擺著兩塊大石頭，這裡的環境相當荒涼。
You see a pair of oddly curved rock formations. They point at each other as if to form an arch.	你看到一對形狀怪異的彎曲岩層，彼此對望，彷彿要拼成一座拱門。
Near the base you notice some very small printing. If you're not mistaken the characters translate to "497 Quadgillion Served."	在底部你注意到幾個很小的印刷字。如果你沒看錯，這些字翻譯過來是「已服務 497 垓位顧客。」
From this distance it looks like an ordinary hole in the side of the cliff.  For a better look you will have to get closer.	從這個距離看，這只是懸崖側面一個普通的洞，想看清楚一點，你得靠近一些。
Whatever is in that hole just enjoyed lunch - on you.  This should teach you to be cautious when encountering alien holes.	不管那個洞裡是什麼東西，牠剛剛美美地吃了一頓——就是你，這下你該學乖了，遇到外星洞穴要小心一點。
You are atop the mesa. It is flat to the west.	你在台地頂端，西邊是一片平地。
You are at the west side of a cliff area.	你在懸崖區域的西側。
No good will come of that.	這麼做不會有好下場。
Looking at the cliff you notice a small hole	你看著懸崖，注意到一個小洞
It lands with a pleasing thud.	它「咚」一聲落地，聲音還挺讓人滿意的。
It was not known that you are a master of the rock! That was a fine effort.	沒想到你居然是丟石頭高手！這一手漂亮。
It looks a lot like spinach.	這看起來很像菠菜。 
You tear off a piece of the plant.	你扯下一片植物。
The Health Minister has determined that smoking is hazardous to your health.	衛生署長已經證實，吸菸有害健康。
You take a whiff of the plant and find it to be a regrettable experience.	你聞了聞這株植物，這下可讓你後悔了。
That is unreachable from here.	從這裡搆不到那個。
You already have that.	你已經有那個了。
You are not near that.	你不在那附近。
You are in a unique area. There is a natural land bridge here as well as life in the form of plants.	你在一處特別的地方，這裡有一座天然的地橋，還長著一些植物。
There is a very large rock on the natural bridge.	天然地橋上有一塊很大的石頭。
On the ground rests a large boulder.	地上擺著一塊大石頭。
There are no rocks of note here.	這裡沒有什麼值得注意的石頭。
You are following a path on the side of a cliff. It is rather desolate here.	你沿著懸崖邊的小路前進，這裡相當荒涼。
You are in an area almost entirely surrounded by cliffs. A path winds its way along the sheer cliff to the left. It is not accessible from here.	你身處一處幾乎完全被懸崖包圍的地方。一條小路沿著左邊的峭壁蜿蜒而去，但從這裡走不過去。
You are in an area almost entirely surrounded by cliffs. A path winds its way along the sheer cliff to the left. It is not accessible from here. There is a cave to the right.	你身處一處幾乎完全被懸崖包圍的地方。一條小路沿著左邊的峭壁蜿蜒而去，但從這裡走不過去。右邊有一個洞穴。
A path winds its way along the sheer cliff to the left. It is not accessible from here.	一條小路沿著左邊的峭壁蜿蜒而去，但從這裡走不過去。
You are walking along a path high above the ground.	你正走在一條高懸於地面之上的小路。
You are at the southwest edge of a mesa. It is very desolate here.	你在台地的西南邊緣，這裡非常荒涼。
You are in a desert cliff area. There is a natural land bridge in the distance.	你在沙漠懸崖區，遠處有一座天然地橋。
It looks a lot like spinach. 	這看起來很像菠菜。 
You plant your teeth in the strange plant and take a large bite, only to find it tastes exquisitely bad. If you had your choice, you would choose any form of death over a meal of this.	你一口咬進這株奇怪的植物，狠狠地咬了一大口，結果發現味道糟糕到極點。如果讓你選，你寧願死也不要再吃一口這種東西。
You are in a desert cliff area.	你在沙漠懸崖區。
Fortunately for you, the path here is not far above the ground. Your suffering is limited to a dull pain in the hindquarters.	算你走運，這裡的小路離地面不高，你頂多只是屁股隱隱作痛。
The cave interior now features a lovely new Jagged Metal/Liberated Entrails motif. The stench? Whew! Not even an all-text adventure would attempt that description.	洞穴內部現在多了一種嶄新的「鋸齒鐵片∕內臟四散」風格裝潢。至於那股臭味？呼！就連純文字冒險遊戲也不敢形容那有多恐怖。
"What have we here?"	「這裡有什麼好東西？」
You reach down and take the Orat part in your hand. Some of it oozes to fill the space between your fingers.	你伸手拿起那塊歐拉特的殘骸，有些黏液滲出來，填滿了你指縫間的空隙。
You'd want MORE of THAT? You are truly twisted. Seek a physician when you hit town.	你還想要更多？你真的有夠變態，等你到鎮上記得去看醫生。
You're going to have to go one-on-one against Orat for something like that?	你打算就這樣跟歐拉特單挑？
You've just been molecularly re-distributed by the spider droid. Tough luck, %s1.	你剛剛被蜘蛛機器人拆成分子重組了。運氣真背，%s1。
You are in the slimiest of caves. The odor in here is less than desirable.	你人在一個黏糊糊的洞穴裡，這裡的味道實在不怎麼樣。
The walls are solid rock.	牆壁是堅硬的岩石。
The walls are solid rock. You notice a fine spray of glistening, metallic jelly.	牆壁是堅硬的岩石。你注意到有一層閃著金屬光澤的黏液噴濺在上面。
It looks like the rest of the ground around here. The green spots indicate that there is a little moisture.	看起來跟這附近的地面沒兩樣，上面的綠色斑點顯示這裡有一點濕氣。
On the ground rests a gleaming chunk of Orat's anatomy.	地上躺著一小塊閃閃發亮的歐拉特殘骸。
It is very large and very hard.	它又大又硬。
Orat is huge and ugly. Of course, your opinion may differ depending on what part of the universe you come from. It should also be mentioned that he is quite mean.	歐拉特體型巨大又醜陋。當然啦，這要看你是從宇宙的哪個角落來的，看法可能不太一樣。另外要提醒你一下，牠脾氣壞得很。
You shiver at the sight of the spider droid with its spindly legs and cold metallic body. Its red scanner probing the terrain for anything that moves. Truly an icon of terror.	蜘蛛機器人細長的腿和冰冷的金屬軀體讓你不寒而慄。牠紅色的掃描器正在地形上搜尋任何會動的東西，簡直就是恐怖的化身。
You are unable to do that.	你辦不到。
You have trouble moving your own carcass around. You sure can't move something that weighs several times more than you.	你連自己這副身子都快搬不動了，更別說搬動比你重好幾倍的東西。
There is no need for you to do that.	你沒必要這麼做。
Orat has transformed you into a new source of recreation.  You, of course, don't survive this treatment. It's tough to make friends around here.	歐拉特把你當成新玩具，玩了起來。你當然沒能撐過這一關，在這裡交朋友還真不容易。
Orat, always in the mood for a snack, snatches the can out of the air with his spacious oral cavity, chews and swallows it. He notices a rumbling deep within his abdomen.	永遠都有心情吃點心的歐拉特，張開他那寬敞的大嘴把罐子從空中接住，嚼一嚼就吞下肚，接著他注意到肚子深處傳來一陣咕嚕聲。
Orat's eyes prove to be bigger than his stomach for once. Incapable of becoming history's first living reservoir, his body succumbs to the intense internal pressure created by nearly ten gallons of instantly reconstituted water. As a special bonus, you have received a much needed shower!	歐拉特這回真的是眼睛比胃大。牠沒能成為史上第一個活體蓄水池，將近十加侖瞬間還原的水在牠體內形成的高壓，讓牠的身體整個撐不住了。附贈的驚喜是：你順便沖了個等很久的澡！
No time for that!	現在沒空做那個！
That would be ineffective now.	現在做這個沒用。
Get closer.	靠近一點。
It's a darn shame you're not around to enjoy it. You'll have to be more careful about who you hang around with in the future, %s1.	可惜你沒命留下來享受了。%s1，你以後真該小心一點自己跟什麼人混在一起。
It's too far away.	距離太遠了。
Orat is a guy of few words and none of them are for you.	歐拉特是個惜字如金的傢伙，而且一個字都不會留給你。
How do you intend to do that.	你打算怎麼做到？
This knife wouldn't cut hot margarine. Were you hoping he might die from an infected bruise?	這把刀連熱奶油都切不動，你該不會是想讓他傷口感染致死吧？
It looks like your standard run-of-the-mill pneumatic transport. This particular one only goes down, however.	看起來就是一般常見的氣動輸送管，不過這一個只能往下走。
You need to be closer.	你得再靠近一點。
This is one end of what appears to be a large cavern. The only way to go is to the left.	這裡是一個大洞穴的一端，唯一能走的路是往左。
It looks just like a Keronian rock should.	看起來就跟柯羅娜星該有的石頭一模一樣。
That is not here to get.	這裡沒有這種東西可以拿。
This is one end of what appears to be a large cavern. The only way to go is to the left. There is a rock nearby.	這裡是一個大洞穴的一端，唯一能走的方向是左邊，附近有一顆石頭。
rock taken	已拿取石頭
geyser plugged	間歇泉已被堵住
geyser unplugged	間歇泉已疏通
The floor is mostly rock with the exception of a grate in the middle. To the left of the grate is what appears to be a steam geyser.	地板大多是岩石，只有中間有一個柵欄，柵欄左邊看起來像是一座蒸汽間歇泉。
This is another large chamber in the underground complex. There is a path on the back wall which is not accessible from the bottom.	這是地底建築群裡的另一個大房間。後牆有一條通道，但從下面走不上去。
The grate is made of metal and seems to be fastened securely to the floor. It is too dark to see down through the grate. There is, however, an odd smell emanating from down there.	這座柵欄是金屬做的，看起來牢牢固定在地板上。裡面太暗，透過柵欄看不到下方，不過下面飄上來一股怪味。
There is a geyser cone here. The geyser is currently plugged-up with a rock.	這裡有一座間歇泉噴口，目前被一顆石頭堵住了。
There is a geyser cone here. It is rhythmically spewing hot steam.	這裡有一座間歇泉噴口，正有節奏地噴出熱蒸汽。
There is a door here.	這裡有一扇門。
There is not a door here.	這裡沒有門。
The rock would serve no purpose on the grate.	把石頭放在柵欄上沒有任何用處。
There are some slimey green tentacles poking through the grate.	有幾條黏糊糊的綠色觸鬚從柵欄縫隙裡伸出來。
Try as you might, the darn door won't open for you.	你再怎麼用力，這扇該死的門就是不肯開。
You can't do that here.	你在這裡辦不到。
You knock but, surprisingly, no one answers!	你敲了敲門，卻出乎意料地沒人應門！
Anything for a thrill, eh? That's a pretty darn interesting idea, but not the correct one.	什麼都想試試看，是吧？這點子是挺有意思的，可惜不是正確答案。
You lean over to drink from the tempting pool of liquid. As your lips touch the fluid you feel a pain which could be likened to kissing a lit rocket nozzle. Now you know what they mean when they say "Don't drink the water."	你彎下腰，想喝那看起來很誘人的池水。嘴唇一碰到液體，那股痛感就像親吻正在點火的火箭噴嘴。現在你終於懂了，人家說「別喝那個水」是什麼意思。
That can't be done now.	現在辦不到這件事。
That act cannot be performed from here.	這個動作在這裡做不到。
You gaze intently at the purplish pool of liquid, the first real sign of moisture on the planet. The pool seems to have no bottom. The gentle dripping has a soothing effect on your frazzled nerves.	你凝視著這灘紫色的池水，這是這顆星球上第一個真正的濕氣跡象。這池水似乎深不見底，輕柔的滴水聲讓你緊繃的神經稍微舒緩下來。
From tiny cracks in the ceiling several small drops succumb to the influence of gravity.	天花板上的細小裂縫不斷滴下幾滴水珠，任憑重力擺佈。
This is a slightly smaller chamber in the underground complex. There is a path above, which is not accessible from here. There is a pool on the right side.	這是地底建築群裡一個稍小的房間。上方有一條通道，但從這裡走不上去。右側有一灘水池。
You have nothing that could successfully contain the liquid.	你身上沒有任何能裝下這液體的東西。
This is a upper pathway in a slightly smaller chamber in the underground complex. There is a level area below which is not accessible from here. There is a pool on the lower right side.	這是地底建築群裡一個稍小房間的上層通道。下方有一塊平地，但從這裡走不下去。右下方有一灘水池。
You are unpleasantly surprised by a drop of searing acid which bores its way to your feet.	一滴滾燙的酸液毫無預警地燒穿到你的腳，讓你嚇了一大跳。
That's right. You have no head. That darn pool must be filled with acid. You obviously can't go on living that way.	沒錯，你已經沒有頭了。這灘該死的水池裡裝的一定是酸液，你這樣顯然是活不下去了。
You could see it better if you were closer.	靠近一點你會看得更清楚。
You don't have the glass.	你身上沒有那塊玻璃。
You have quite cleverly turned the beam upon itself, frying it into inoperability.	你很聰明地把光束反射回它自己身上，把它燒到報銷了。
The beams seem to form some sort of electronic barrier across the path.	這些光束似乎在通道上組成了某種電子屏障。
There are no beams to look at.	這裡沒有光束可以看。
There are two metal units here which appear to be emitting beams of energy.	這裡有兩台金屬裝置，看起來正發射著能量光束。
There are two metal units here which are no longer emitting beams of energy.	這裡有兩台金屬裝置，已經不再發射能量光束了。
You are in a large room in the cavern. There is a level area below. Standing toward the bottom are two odd-looking units emitting beams of light.	你在洞穴裡的一個大房間。下方有一塊平地，靠近底部立著兩台造型怪異的裝置，正發射著光束。
You are in a large room in the cavern. There is a level area below. Standing toward the bottom are two odd-looking units.	你在洞穴裡的一個大房間。下方有一塊平地，靠近底部立著兩台造型怪異的裝置。
You are in a large room in the cavern. There is a pathway above. At the south end of the room are two odd-looking units emitting beams of light.	你在洞穴裡的一個大房間。上方有一條通道，房間南端立著兩台造型怪異的裝置，正發射著光束。
You are in a large room in the cavern. There is a pathway above. At the south end of the room are two odd-looking units.	你在洞穴裡的一個大房間。上方有一條通道，房間南端立著兩台造型怪異的裝置。
"So, you have found your way to my hallowed chamber."	「原來如此，你找到路來到我這神聖的殿堂了。」
"I have been monitoring your travels on our planet. It appears that you are up the proverbial estuary without a means of locomotion."	「我一直在監看你在我們星球上的行蹤。看樣子你是叫天不應叫地不靈，沒有代步工具可用啊。」
"You are obviously in need of transportation."	「你顯然需要一台代步工具。」
"Let us see if you are worthy of our assistance."	「讓我們瞧瞧，你配不配得到我們的幫忙。」
"On the surface lives a beast called Orat.  He proves to be a bit of an annoyance on occasion.  Dispose of him and bring back evidence of your conquest.  Only then will I deal with your plight.  Good luck, strange one."	「地表上住著一頭叫做歐拉特的怪獸，牠三不五時就給人添點麻煩。去把牠解決掉，再帶著你戰勝的證據回來。到時候我才會理你的死活。祝你好運了，怪傢伙。」
"So, you have returned.  Fortunately, there is much more to you than meets the eye."	「原來你回來了。幸好，你這個人不是表面看起來那麼簡單。」
"Drop before me your proof of Orat's defeat for my inspection."	「把你打敗歐拉特的證明放到我面前，讓我過目。」
As soon as you enter the room you find yourself surrounded by darkness. Suddenly, you become aware of the fact that you cannot move or speak. A strange, unknown force has taken over.	你一走進房間，四周瞬間陷入黑暗。突然間你發現自己不能動也不能說話，一股陌生的神秘力量掌控了一切。
"Z jo jb!  lvoo sd fj?"	「Z jo jb! lvoo sd fj?」
"Jow wfiemss ekk wkkedkl ll ewlwl lqqfr fo slljnccv kwetsdlk?"	「Jow wfiemss ekk wkkedkl ll ewlwl lqqfr fo slljnccv kwetsdlk?」
"Owr rjn maj jwwj?  Pprdf rph pttqpt?"	「Owr rjn maj jwwj? Pprdf rph pttqpt?」
"wpfi, iw?  Der op oio fr tnm dcv ermiyn lk mnb weevxmqyhj."	wpfi, iw?  Der op oio fr tnm dcv ermiyn lk mnb weevxmqyhj.
"bn hos eunafle lsivr s nvfjr cpjssnb Mcvc.  Mt pskrsh rn fv b hmn hr an fbruasbvr pl uffauone.  Meyudej jk bzr bel ngisj nfdf sifhrbns kb jdgw kshghwkt.  Bjhd nfao ejff ie foajgss ngjy pwkgsf.  Bkkh irsj, dtjpddf kmn."	bn hos eunafle lsivr s nvfjr cpjssnb Mcvc.  Mt pskrsh rn fv b hmn hr an fbruasbvr pl uffauone.  Meyudej jk bzr bel ngisj nfdf sifhrbns kb jdgw kshghwkt.  Bjhd nfao ejff ie foajgss ngjy pwkgsf.  Bkkh irsj, dtjpddf kmn.
You drop the Orat part to the ground.  The vision is silent.  You are startled by a rumbling and suddenly an oddly shaped door comes into view. It opens slowly.	你把那塊歐拉特殘骸丟到地上。幻影一片寂靜。一陣轟隆巨響嚇了你一跳，一扇造型奇特的門緩緩浮現，慢慢打開。
You hear a voice, different this time, beckoning you to step forward.	你聽到一個聲音，這次不一樣了，招手要你往前走。
It's not yours any longer.	這已經不是你的東西了。
You explain to the rather imposing figure that you are stranded and in need of help.	你向那位相當有威嚴的身影解釋，說自己流落至此，需要幫助。
With that you find yourself being transported back to the surface.	話一說完，你發現自己被傳送回了地表。
"Asde basdae mc werj pjlpph mn lsdse bbdow rec bvksdipabb."	Asde basdae mc werj pjlpph mn lsdse bbdow rec bvksdipabb.
"Dr, hgi hnhht hjutn.  Kdfdrnlo ghfhr bb rhytt thrt ii mys aawr vcvvf xxc cdd."	「Dr, hgi hnhht hjutn. Kdfdrnlo ghfhr bb rhytt thrt ii mys aawr vcvvf xxc cdd.」
It's pretty darn dark in here.	這裡暗得要命。
Before you is a huge head. It appears to be a projection of some sort. It's source is unknown.	你面前是一顆巨大的頭顱，看起來像是某種投影，來源不明。
Your words go unnoticed.	你說的話沒人理。
"So, you have found your way to my hallowed chamber. Fortunately there is much more to you than meets the eye."	「哈，你找到了通往我這神聖密室的路。算你走運，你這傢伙深藏不露。」
"Bring to me evidence of the beast Orat's demise and we'll talk."	「把歐拉特斃命的證據帶來給我，我們再來談。」
